Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address,Area(Sq.Feet),Area(In Sq.Feet),Price(Float)
"Residential Semi- Bungalow : House For Sale In Gurujudhara, Kathmandu","['Balambu', ' 500 meter from Highway', ' Gurujudhara', ' Kathmandu']",50000000,7,6,4.0,2,South East,,532,0-8-0-0 Aana,13.0,3300 Sq. Feet,3 months ago,"['Lawn', 'Garage', 'Balcony', 'Deck', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Solar Water', 'Water Well', 'CCTV', 'Internet', 'Parking', 'Store Room']", Kathmandu, Gurujudhara,2738.0,2738.0,50000000.0
"Imadole Inside 500m From Krishna Mandir : House For Sale In Imadol, Lalitpur","['Imadole', ' Imadol', ' Lalitpur']",12900000,2,2,2.0,1,South,2023.0,397,0-3-0-0 Aana,14.0,600 Sq. Feet,3 months ago,[], Lalitpur, Imadol,1026.75,1026.75,12900000.0
"House For Sale In Gongabu Ganeshthan : House For Sale In Gongabu, Kathmandu","['Gongabu', ' Ganeshthan', ' Gongabu', ' Kathmandu']",35000000,4,3,3.0,1,South,2072.0,228,128.80 Sq. Meter,12.0,2868 Sq. Feet,3 months ago,"['Drainage', 'Parking', 'Balcony', 'Fencing', 'TV Cable', 'Water Tank']", Kathmandu, Gongabu,128.80 ,128.8,35000000.0
"House On Sale On Hattigauda, Near Ganesh School : House For Sale In Budhanilkantha, Kathmandu","['hattigauda', ' near ganesh school', ' Budhanilkantha', ' Kathmandu']",34000000,5,3,2.0,1,North East,2075.0,251,4 Aana,16.0,N/A Aana,3 months ago,[], Kathmandu, Budhanilkantha,1369.0,1369.0,34000000.0
"Bunglow For Sale At Tokha-6, Dhapasi, Kathmandu : House For Sale In Tokha, Kathmandu","['Milan Tole', ' Tokha', ' Kathmandu']",70000000,5,7,3.0,3,North West,2074.0,179,8 aana 2 paisa 2 daam Aana,18.0,N/A Aana,3 months ago,"['Garage', 'Drainage', 'Parking', 'Balcony', 'Water Supply', 'Garden', 'CCTV', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well', 'Lawn', 'Jacuzzi']", Kathmandu, Tokha,2909.125,2909.125,70000000.0
"House For Sale In Godawari, Lalitpur","['Bistachap', ' Godawari', ' Lalitpur']",9500000,0,0,,0,East,,302,0-2-2-3 Aana,20.0,0-2-2-3 Sq. Feet,3 months ago,"['Parking', 'Water Supply', 'Internet']", Lalitpur, Godawari,919.796875,919.796875,9500000.0
"Residential House For Sale At Khusibhu , Nayabazar : House For Sale In Khusibu, Kathmandu","['khusibu', ' Khusibu', ' Kathmandu']",34000000,5,3,3.0,1,East,2072.0,249,3-1-1 Aana,0.0,1832 Sq. Feet,3 months ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Garden', 'Water Supply', 'Fencing', 'Balcony', 'Modular Kitchen', 'Solar Water', 'Water Well', 'Wifi', 'Water Tank', 'Internet', 'Washing Machine']", Kathmandu, Khusibu,1112.3125,1112.3125,34000000.0
"Residential 2.5 Storey : House For Sale In Imadol, Lalitpur","['Shree marg', ' Sitalheight', ' Imadol', ' Imadol', ' Lalitpur']",26500000,4,3,3.0,1,East,2075.0,2.1K,0-3-2-0 Aana,13.0,2000 Aana,3 months ago,"['Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']", Lalitpur, Imadol,1197.875,1197.875,26500000.0
"Residential House On Sale Sipadol,Bhaktapur : House For Sale In Sipadol, Bhaktapur","['Suryabinayak-08', ' Sipadol', ' Bhaktapur']",37500000,7,4,3.0,2,North,,120,0-4-2-0 Aana,20.0,820 Sq. Feet,4 months ago,"['Drainage', 'Parking', 'Air Condition', 'Balcony', 'Water Supply', 'CCTV', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Well', 'Water Tank', 'Electricity Backup', 'Intercom', 'Internet', 'Microwave']", Bhaktapur, Sipadol,1540.125,1540.125,37500000.0
"House For Sale In Kapan, Kathmandu","['Paiyatar', 'Kapan Kathmandu', ' Kapan', ' Kathmandu']",42500000,7,0,3.0,2,East,2077.0,192,5 Aana,18.0,3300 Sq. Feet,4 months ago,"['CCTV', 'Parking', 'TV Cable', 'Solar Water', 'Water Well', 'Electricity Backup', 'Internet', 'Kids Playground', 'Water Tank', 'Water Supply', 'Balcony', 'Air Condition', 'Modular Kitchen']", Kathmandu, Kapan,1711.25,1711.25,42500000.0
