,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
991,"Beautiful House : House For Sale In Sitapaila, Kathmandu","Sitapaila, Sitapaila, Kathmandu","NPR. 2,10,00,000 onward",5,2,2,3,BN8584,South,N/A,7.7K,0-3-2-0 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"['Modular Kitchen', 'TV Cable', 'Water Supply', 'Water Tank', 'Parking']"
992,"House For Sale : House For Sale In Gongabu, Kathmandu","New bus park, Gongabu, Kathmandu","NPR. 3,50,00,000 onwards",4,4,20,1,BN8580,East,N/A,1.6K,0-7-0-0 Sq. Feet,16 Feet / Blacktopped,3.5 Aana,2 years ago,"['Wifi', 'Drainage', 'Water Well', 'CCTV', 'Electricity Backup', 'Internet', 'Parking', 'Security Staff']"
993,"House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu","NPR. 4,20,00,000 Onwards",5,5,3,3,BN8562,East,2077,1.3K,6 Aana,14 Feet / Paved,2500 Sq. Feet,2 years ago,"['Drainage', 'Garage', 'Balcony', 'Water Supply', 'Modular Kitchen', 'Solar Water', 'Water Tank', 'Store Room']"
994,"House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu","NPR. 3,20,00,000 Onwards",6,6,3,2,BN8561,East,N/A,833,5 Aana,13 Feet / Blacktopped,2500 Sq. Feet,2 years ago,"['Drainage', 'Garage', 'Balcony', 'Garden', 'Water Supply', 'Modular Kitchen', 'Solar Water', 'Water Tank', 'Store Room']"
995,"House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu","NPR. 4,75,00,000 Onwards",5,6,3,3,BN8554,East,2077,872,6 Aana,18 Feet / Blacktopped,2700 Sq. Feet,2 years ago,"['Drainage', 'Garage', 'Balcony', 'Air Condition', 'Water Supply', 'Modular Kitchen', 'Solar Water', 'Store Room', 'Water Tank']"
996,"Beautiful House : House For Sale In Sanobharyang, Kathmandu","Sano Bharayagn, Sanobharyang, Kathmandu","NPR. 3,15,00,000 onward",7,2,2,3,BN8549,North,N/A,803,0-3-3-3 Aana,16 Feet / Gravelled,N/A Aana,2 years ago,"['Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']"
997,"Beautiful House : House For Sale In Bafal, Kathmandu","Bafal, Bafal, Kathmandu","NPR. 2,30,00,000 onward",6,2,2,4,BN8548,South,N/A,2.1K,0-3-0-0 Aana,10 Feet / Paved,N/A Aana,2 years ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']"
998,"Beautiful House : House For Sale In Bhaisepati, Lalitpur","Bhaisipati, Bhaisepati, Lalitpur","NPR. 3,10,00,000 onward",4,3,3,4,BN8547,South East,N/A,3K,0-4-0-0 Aana,18 Feet / Gravelled,N/A Aana,2 years ago,[]
999,"Beautiful House : House For Sale In Bhaisepati, Lalitpur","Bhaisipati, Bhaisepati, Lalitpur","NPR. 3,00,00,000 onward",4,3,3,3,BN8546,South East,N/A,1.6K,0-3-3-1 Aana,18 Feet / Gravelled,N/A Aana,2 years ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking']"
1000,"HOUSE FOR SALE : House For Sale In Syuchatar, Kathmandu","Durganagar colony, Syuchatar, Kathmandu","NPR. 2,20,00,000 Onwards",4,2,2,1,BN8543,North East,N/A,1.2K,0-0-3-7 Aana,14 Feet,1700 Sq. Feet,2 years ago,"['Balcony', 'Garden', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Supply', 'Lawn', 'Drainage', 'Garage', 'Parking', 'Deck', 'Fencing', 'Wifi', 'Internet', 'Water Well']"
