,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
1719,"Sold Out : House At Golfutar : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu","NPR. 1,80,00,000 Onwards",6,4,3.0,2,BN6002,East,2019.0,2.3K,3 Aana,13 Feet / Gravelled,2 Aana,3 years ago,['Air Condition']
1720,"House For Sale In Naya Bazar, Kathmandu","Rayamajhi, Naya Bazar, Kathmandu","NPR. 3,20,00,000",8,4,,1,BN6001,North,,2.6K,0-3-1-0 Aana,0 Feet,N/A Aana,3 years ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'Water Supply', 'Water Well', 'Solar Water', 'Drainage', 'Electricity Backup', 'Parking', 'Store Room', 'Water Tank']"
1721,"Modern Bungalow House For Rent/ Sale : House For Sale In Kusunti, Lalitpur","kusunti, Kusunti, Lalitpur","NPR. 3,65,00,000",4,4,3.0,3,BN5999,North West,2020.0,97.7K,0-5-2-2 Aana,13 Feet / Blacktopped,2200 Aana,2 years ago,"['Lawn', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Water Supply', 'Water Tank', 'Water Well', 'Lift']"
1722,"House For Sale In Greenhill City, Mulpani, Kathmandu","638, Greenhill city, Mulpani, Kathmandu","NPR. 3,50,00,000",4,4,4.0,1,BN5998,East,2019.0,1.8K,4 Aana,22 Feet / Blacktopped,3 Aana,3 years ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Maintenance']"
1723,"SOLD OUT : House For Sale In Kapan, Kathmandu","akatabasti, Kapan, Kathmandu","NPR. 1,82,00,000 Total price",0,0,,0,BN5997,East,,2.3K,0-3-0-0 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,[]
1724,"Urgent House On Sale : House For Sale In Pepsicola, Kathmandu","Harharmahadev, Pepsicola, Kathmandu","NPR. 1,35,00,000",4,3,3.0,1,BN5995,South East,2019.0,14.4K,2.5 Aana,13 Feet / Gravelled,2.5 Aana,3 years ago,"['Water Tank', 'Water Well', 'Parking']"
1725,"Land For Sale : House For Sale In Bharatpur, Chitwan","Bhojad, Bharatpur, Chitwan","NPR. 75,00,000 Total price",2,1,1.0,2,BN5986,East,2072.0,1.9K,6 Dhur,6 Meter / Blacktopped,N/A Dhur,3 years ago,"['Lawn', 'Garden', 'TV Cable', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']"
1726,"House For Sale In Kapan, Kathmandu","Adhikari mod, Aakase dhara, Kapan, Kathmandu","NPR. 3,25,00,000 onwards",6,5,3.0,5,BN5982,East,2076.0,1.6K,0-7-0-0 Sq. Feet,12 Feet / Blacktopped,0-4-5-0 Sq. Feet,3 years ago,"['Garage', 'Balcony', 'Garden', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking', 'Store Room']"
1727,"House On Sale In Bhimsengola, Old Baneswor Saypatri Tole : House For Sale In Battisputali, Kathmandu","House No 21 Satapatri Tole, Battisputali, Kathmandu","NPR. 1,80,00,000",0,3,3.0,1,BN5976,East,,2.4K,0-3-1-1 Aana,9 Feet / Paved,2.2 Aana,3 years ago,"['TV Cable', 'Drainage', 'Water Supply', 'Balcony']"
1728,"SOLD OUT : House For Sale In Sano Gaun, Lalitpur","Sanogaun, Sano Gaun, Lalitpur","NPR. 1,45,00,000 Total price",0,0,,0,BN5974,West,,1.8K,3 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,[]
1729,"SOLD OUT : House For Sale In Budhanilkantha, Kathmandu","Rudreshwor Chowk Bus Stop, Budhanilkantha, Kathmandu","NPR. 4,95,00,000 Total price",0,0,,0,BN5970,South,,4.8K,9 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking', 'Store Room']"
