price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,FLAT AREA,PARKING AREA
"Rs. 2,00,00,000 (Negotiable)
(Two crore )",0-3-0-0,,,3,1,2,,2,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10392,4 MONTHS AGO,87,NOT FURNISHED,,
,0-13-2-0,,,,,,,,SOUTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB03718,6 YEARS AGO,8414,,,
"Rs. 50,000 (Negotiable)
(Fifty thousand per month)",850 SQUARE FEET,,,,,,,,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09802,10 MONTHS AGO,808,NOT FURNISHED,,
"Rs. 3,50,00,000 (Negotiable)
(3 crore 50 lakh )",0-9-0-0,1200 SQUARE FEET,,4,2,2,,2,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04497,6 YEARS AGO,1535,SEMI FURNISHED,,
"Rs. 35,00,000 (Negotiable)
(Thirty five lakh per aana)",0-6-3-0,,,,,,,,SOUTH-WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB08814,2 YEARS AGO,2605,,,
"Rs. 3,50,000 (Negotiable)
(For sale 15 crore/For rent 3 lakh 50 thousand per month)",0-6-2-0,4000 SQUARE FEET,,8,1,1,7,3.5,NORTH,COMMERCIAL BUILDING (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07078,4 YEARS AGO,3517,SEMI FURNISHED,,
"Rs. 34,000 / month (Negotiable)
(Thirty four thousand per month)",0-,0-8-0-0,,3,1,1,1,1,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10100,6 MONTHS AGO,91,FULLY FURNISHED,,
"Rs. 17,00,000 (Negotiable)
(17 lakh per aana)",0-5-2-2,,,,,,,,SOUTH,LAND (RESIDENTIAL),NONE,GB03700,5 YEARS AGO,5099,,,
"Rs. 2,95,00,000 (Negotiable)
(Two crore ninety five lakh )",0-3-2-0,800 SQUARE FEET,,5,2,2,3,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09980,8 MONTHS AGO,132,FULLY FURNISHED,,
,0-,,,,,,,3,NORTH-EAST,COMMERCIAL BUILDING (COMMERCIAL),PILLAR SYSTEM,GB05401,4 YEARS AGO,3042,NOT FURNISHED,,
"Rs. 5,50,00,000 (Negotiable)
(Five crore fifty lakh )",0-10-0-0,1938 SQUARE FEET,,7,1,2,2,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07580,11 MONTHS AGO,4393,NOT FURNISHED,,
"Rs. 2,85,00,000 (Negotiable)
(Two crore eighty five lakh )",0-3-2-1,2461 SQUARE FEET,,10,2,2,5,,EAST,HOUSE (RESIDENTIAL),NONE,GB10080,7 MONTHS AGO,95,NOT FURNISHED,,
"Rs. 4,50,00,000 (Negotiable)
(Four crore fifty lakh )",0-5-0-0,3600 SQUARE FEET,,7,3,3,6,3.5,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07627,2 YEARS AGO,7575,NOT FURNISHED,,
"Rs. 2,15,00,000 (Negotiable)
(Two crore fifteen lakh )",0-2-2-1,,,2,2,1,3,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08601,2 YEARS AGO,6619,NOT FURNISHED,,
"Rs. 5,00,000
(Five lakh )",100 SQUARE FEET,1000 SQUARE FEET,,,,,,1,EAST,SCHOOL (COMMERCIAL),PILLAR SYSTEM,GB10505,3 MONTHS AGO,34,FULLY FURNISHED,,
"Rs. 2,15,00,000 (Negotiable)
(Two crore fifteen lakh )",0-5-0-0,1900 SQUARE FEET,,4,1,2,4,2.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07470,2 YEARS AGO,10720,NOT FURNISHED,,
"Rs. 3,50,000 (Negotiable)
(Three lakh fifty thousand per kattha)",152 KATTHA,,,,,,,,WEST-NORTH-SOUTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB09507,1 YEAR AGO,1127,,,
"Rs. 25,000 (Negotiable)",0-,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10585,1 MONTH AGO,76,NOT FURNISHED,,
"Rs. 3,25,00,000 (Negotiable)
(Three crore twenty five lakh )",0-5-0-0,,,6,2,2,4,,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08556,2 YEARS AGO,3862,FULLY FURNISHED,,
"Rs. 5,00,00,000 (Negotiable)
(Five crore )",0-9-0-0,,,3,1,1,3,2.5,SOUTH,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB07082,3 YEARS AGO,5935,FULLY FURNISHED,,
"Rs. 3,30,00,000 (Negotiable)
(Three crore thirty lakh )",0-4-3-0,0-2-2-2,,8,4,3,,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10724,1 MONTH AGO,73,FULLY FURNISHED,,
"Rs. 2,80,00,000 (Negotiable)
(Two crore eighty lakh )",133 SQUARE METER,2337 SQUARE FEET,,6,2,2,,2.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10586,2 MONTHS AGO,125,SEMI FURNISHED,,
"Rs. 3,75,00,000 (Negotiable)
(Three crore seventy five lakh )",0-5-2-0,,,22,,1,14,4.5,SOUTH,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB06379,3 YEARS AGO,2434,SEMI FURNISHED,,
,0-4-0-0,,,8,2,2,4,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03681,6 YEARS AGO,21742,NOT FURNISHED,,
"Rs. 1,90,00,000 (Negotiable)
(One crore ninety lakh )",0-4-0-0,,,6,2,1,,1.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10401,4 MONTHS AGO,134,,,
,0-4-2-0,,,9,1,1,5,6.5,NORTH-EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04078,5 YEARS AGO,9029,SEMI FURNISHED,,
"Rs. 7,50,00,000 (Negotiable)
(Seven crore fifty lakh )",0-14-0-0,,,5,2,1,5,2.5,EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB06371,2 YEARS AGO,8091,FULLY FURNISHED,,
"Rs. 3,20,00,000 (Negotiable)
(3 aana 1 paisa 3 dam)",0-,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10704,1 MONTH AGO,39,NOT FURNISHED,,
"Rs. 5,50,00,000 (Negotiable)
(Five crore fifty lakh )",0-7-0-0,,,5,2,,5,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10520,3 MONTHS AGO,113,NOT FURNISHED,,
"Rs. 75,000 (Negotiable)
(32)",0-,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10574,2 MONTHS AGO,37,NOT FURNISHED,,
"Rs. 1,85,00,000 (Negotiable)
(1 crore 85 lakh )",0-4-1-1,2200 SQUARE FEET,,6,2,2,3,2.5,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05708,4 YEARS AGO,9621,SEMI FURNISHED,,
"Rs. 29,00,000 (Negotiable)
(Twenty nine lakh )",0-5-0-0,,,,,,,,SOUTH,LAND (RESIDENTIAL),NONE,GB10457,2 WEEKS AGO,3432,,,
"Rs. 88,000 / month
(Eighty eight thousand )",0-4-0-0,0-3-3-3,,5,3,3,,5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10830,7 HOURS AGO,14,,,
,6-14-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10643,1 MONTH AGO,28,,,
"Rs. 43,00,000 (Negotiable)
(Forty three lakh per aana)",0-11-2-2,0-4-2-0,,,,,,,WEST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB07144,2 YEARS AGO,16738,,,
