Title,Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities
"House For Rent In Patandokha, Lalitpur","Patan Dhoka, Patandokha, Lalitpur",90000,4,2,,0,South East,,366,7 Aana,20 Feet,2000 Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Kuleshwor, Kathmandu","Kuleshwor, Kuleshwor, Kathmandu",150000,5,4,3.0,0,South East,,254,1 Ropani,15 Feet,N/A Sq. Feet,10 months ago,"['Lawn', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"Land For Sale In Godawari, Lalitpur","Godawari, Godawari, Lalitpur",1200000,0,0,,0,West,,402,40 Ropani,20 Feet / Blacktopped,N/A Sq. Feet,10 months ago,[]
"House For Rent In Naxal, Kathmandu","Naxal, Naxal, Kathmandu",250000,5,4,,0,East,,395,25 Aana,13 Feet,N/A Sq. Feet,10 months ago,"['Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Nakkhu, Lalitpur","Nakkhu, Nakkhu, Lalitpur",40000,0,0,,0,South,,497,3 Aana,13 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Bakhundol, Lalitpur","Bakhundol, Bakhundol, Lalitpur",125000,0,0,,0,South East,,248,7 Aana,13 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"Land For Sale In Duwakot, Bhaktapur","Duwakot, Duwakot, Bhaktapur",900000,0,0,,0,South East,,344,9 Ropani,16 Feet / Blacktopped,N/A Sq. Feet,10 months ago,[]
"House For Rent In Kupondole, Lalitpur","Kupondole, Kupondole, Lalitpur",100000,0,0,,0,South East,,349,10 Aana,13 Feet,N/A Sq. Feet,10 months ago,"['Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Baluwatar, Kathmandu","Baluwatar, Baluwatar, Kathmandu",175000,0,0,,0,North,,256,10 Aana,15 Feet,N/A Aana,10 months ago,"['Balcony', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Sanepa, Lalitpur","Sanepa, Sanepa, Lalitpur",150000,0,0,,0,South,,327,9 Aana,13 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Pasikot, Kathmandu","Khumti, Pasikot, Kathmandu",125000,6,4,3.0,0,East,,337,17 Aana,15 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",100000,3,3,3.0,0,South East,,259,4 Aana,18 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Bhaisepati, Lalitpur","Bhaisepati, Bhaisepati, Lalitpur",125000,4,6,3.0,0,South,,734,16 Aana,14 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']"
"Business For Sale In Dallu, Kathmandu","Nearby Buddha Jyoti School, Dallu, Kathmandu",550000,0,0,,0,West,,231,150 Sq. Feet,15 Feet / Blacktopped,N/A Sq. Feet,10 months ago,[]
"Land For Sale In Sankhamul, Kathmandu","Sankhamul, Sankhamul, Kathmandu",4500000,0,0,,0,South East,,286,4 Aana,8 Meter,N/A Sq. Feet,10 months ago,[]
"House For Rent In Kalanki, Kathmandu","Kalanki, Kalanki, Kathmandu",210000,0,0,5.0,3,South,,385,4 Aana,20 Feet,N/A Sq. Feet,10 months ago,"['Drainage', 'Water Supply']"
"Land For Sale In Sanepa, Lalitpur","Sanepa, Sanepa, Lalitpur",4500000,0,0,,0,North,,422,3.5 Aana,10 Feet,N/A Sq. Feet,10 months ago,[]
"House For Sale In Tokha, Kathmandu","Near, Grandy, Tokha, Kathmandu",14000000,6,0,,0,North,,504,4 Aana,12 Feet / Soil Stabilized,N/A Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']"
"Apartment For Rent In Panipokhari, Kathmandu","Nearby Japanese Embassy, Panipokhari, Kathmandu",120000,3,3,2.0,0,East,,352,1385 Sq. Feet,20 Feet,1385 Sq. Feet,10 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply']"
"Flat For Rent In Budhanilkantha, Kathmandu","Behind Nepal electricity authority office, Budhanilkantha, Kathmandu",30000,5,0,,0,North,,507,2200 Sq. Feet,15 Feet / Blacktopped,N/A Sq. Feet,10 months ago,[]
"House For Rent In Imadol, Lalitpur","Imadol, Imadol, Lalitpur",185000,5,5,3.0,0,East,,343,23 Aana,14 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']"
"House For Sale In Hattisar, Kathmandu","Hattisar, Hattisar, Kathmandu",43500000,0,0,3.0,0,West,,301,3.85 Aana,20 Feet,N/A Sq. Feet,10 months ago,"['Drainage', 'Water Supply']"
"Land For Sale In Hattiban, Lalitpur","Hattiban, Hattiban, Lalitpur",2800000,0,0,,0,South,,341,7.1 Aana,20 Feet,N/A Sq. Feet,10 months ago,[]
"House For Rent In Jhamsikhel, Lalitpur","Jhamsikhel, Jhamsikhel, Lalitpur",300000,17,5,3.0,0,West,,256,1 Ropani,14 Feet,7076 Sq. Feet,10 months ago,"['Balcony', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']"
"House For Rent In Jhamsikhel, Lalitpur","Nearby St. Mary School, Jhamsikhel, Lalitpur",200000,5,4,3.0,0,South East,,224,4 Aana,20 Feet,N/A Sq. Feet,10 months ago,"['Balcony', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']"
"House For Sale In Boudha, Kathmandu","Boudha, Boudha, Kathmandu",22000000,10,3,3.0,0,South,,335,0-3-1-0 Aana,20 Feet,N/A Aana,10 months ago,"['Drainage', 'Water Supply', 'Water Tank']"
